Species	Status	MinT	MaxT
Albertavenator_curriei	extinct	71	72.1
Albertavenator_curriei	extinct	71	72.1
Almas_ukhaa	extinct	71	75
Almas_ukhaa	extinct	71	75
Almas_ukhaa	extinct	71	75
Almas_ukhaa	extinct	71	75
Archaeornithoides_deinosauriscus	extinct	71	75
Borogovia_gracilicrus	extinct	69	71
Byronosaurus_jaffei	extinct	71	75
Byronosaurus_jaffei	extinct	71	75
Daliansaurus_liaoningensis	extinct	122.1	124.1
EK_troodontid	extinct	100.5	107
Geminiraptor_suarezarum	extinct	98	127
Gobivenator_mongoliensis	extinct	71	75
Gobivenator_mongoliensis	extinct	71	75
Hesperornithoides_miessleri	extinct	146.8	156.3
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	76.5	77.5
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	79
Indet_troodontid	extinct	75.8	77.5
Indet_troodontid	extinct	76.5	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	77.5
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	76.5	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	75.8	77.5
Indet_troodontid	extinct	74	76.5
Indet_troodontid	extinct	75.8	76.9
Indet_troodontid	extinct	72.1	74
Jianianhualong_tengi	extinct	122.1	125
Jinfengopteryx_elegans	extinct	122.1	139.8
Jinfengopteryx_novsp	extinct	71	75
Jinfengopteryx_novsp	extinct	71	75
Koparion_douglassi	extinct	146.8	156.3
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Latenivenatrix_mcmasterae 	extinct	75.3	75.9
Liaoningvenator_curriei	extinct	130	136.4
Linhevenator_tani	extinct	71	75
Mei_long	extinct	122.1	129.7
Mei_long	extinct	122.1	129.7
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Pectinodon_bakkeri	extinct	66	69
Philovenator_curriei	extinct	71	75
Saurornithoides_mongoliensis	extinct	71	75
Saurornithoides_mongoliensis	extinct	71	75
Saurornithoides_mongoliensis	extinct	71	75
Saurornithoides_mongoliensis	extinct	71	75
Saurornithoides_mongoliensis	extinct	71	75
Sinornithoides_youngi	extinct	112	114
Sinovenator_changii	extinct	122.1	126
Sinovenator_changii	extinct	122.1	126
Sinovenator_changii	extinct	122.1	126
Sinovenator_changii	extinct	122.1	126
Sinovenator_changii	extinct	122.1	126
Sinusonasus_magnodens	extinct	129.4	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Stenonychosaurus_inequalis	extinct	75.9	76.5
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Talos_sampsoni	extinct	74	75
Tochisaurus_nemegtensis	extinct	69	71
Troodon_formosus	extinct	75.8	76.9
Troodon_formosus	extinct	75.8	79
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	71
Troodon_formosus	extinct	69.1	76.9
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	76.9
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
Troodon_formosus	extinct	74.9	79
